CRN,Subject,Number,Section,Quad,Title / Comment,Credits,Meeting Time,Days,Instructor(s),Room,Fees,Attributes
10160,BITH,211,5,,OT Lit & Interpretation,4,8:30 AM - 10:20 AM,T R,"Haydon, Ronald E.",BGC 136,,SHAR
10161,BITH,211,6,,OT Lit & Interpretation,4,9:20 AM - 10:30 AM,M W F,"Walton, John H.",BGC 136,,SHAR
10163,BITH,213,1,,NT Lit & Interpretation,4,8:30 AM - 10:20 AM,T R,"Ehorn, Seth M.",BGC 132,,SHAR
10165,BITH,213,3,,NT Lit & Interpretation,4,11:15 AM - 1:05 PM,T R,"Ehorn, Seth M.",BGC 132,,SHAR
10166,BITH,213,4,,NT Lit & Interpretation,4,12:55 PM - 2:05 PM,M W F,"Vlachos, Chris A.",BGC 138,,SHAR
10167,BITH,213,5,,NT Lit & Interpretation,4,1:15 PM - 3:05 PM,T R,"Brendsel, Daniel J.",BGC 138,,SHAR
10168,BITH,213,6,,NT Lit & Interpretation,4,9:20 AM - 10:30 AM,M W F,"Sosa Siliezar, Carlos",B.GC 132,,SHAR
10169,BITH,213,7,,NT Lit & Interpretation,4,6:30 PM - 10:00 PM,T,"LeMahieu, Nathan",BGC 138,,SHAR
10171,BITH,315,1,,Christian Thought,4,8:30 AM - 10:20 AM,T R,"Bacote, Vincent E.",BGC 130,,SHAR
10173,BITH,315,3,,Christian Thought,4,9:20 AM - 10:30 AM,M W F,"McGowin, Emily H.",BGC 140,,SHAR
10174,BITH,315,4,,Christian Thought,4,11:35 AM - 12:45 PM,M W F,"Johnson, Keith L.",BGC 140,,SHAR
10175,BITH,315,5,,Christian Thought,4,6:30 PM - 10:00 PM,R,"Lee, Gregory W.",BGC 136,,SHAR
10176,BITH,315,6,,Christian Thought,4,8:00 AM - 9:10 AM,M W F,"McGowin, Emily H.",BGC 140,,SHAR
10177,BITH,315,7,,Christian Thought,4,2:15 PM - 3:25 PM,M W F,"Bruce, Matthew J.",BGC 140,,SHAR
10178,BITH,315,8,,Christian Thought,4,1:15 PM - 3:05 PM,T R,"Jones, Beth F.",BGC 132,,SHAR
10180,BITH,325,0,,Biblical Interp & Hermeneutics,4,11:15 AM - 1:05 PM,T R,"Abernethy, Andrew",BGC 130,,
10183,BITH,343,0,A,OT Cultural Environment,2,1:15 PM - 3:05 PM,T R,"Walton, John H.",BGC 532,,
10184,BITH,349,1,A,OT Topics: Christan Fathers,2,11:35 AM - 12:45 PM,M W F,"Graves, Michael W.",BGC 130,,
10186,BITH,372,0,,Historical Theology,4,1:15 AM - 3:05 PM,T R,"Bruce, Matthew J.",BGC 534,,
10187,BITH,373,0,,"Marriage, Sex and Family",4,11:15 AM - 1:05 PM,T R,"Jones, Beth F.",BGC 532,,
10188,BITH,374,0,,Systematic Theology,4,9:20 AM - 10:30 AM,M W F,"Johnson, Keith L.",BGC 532,,
10193,BITH,494,0,,Senior Seminar,2,8:00 AM - 1:00 PM,,Lee & Peeler,,,
10194,BITH,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,,
10195,BITH,496,0,,Internship,1 TO 4,TBA,,STAFF,,,
10196,BITH,499,0,,Honors Thesis,2 OR 4,TBA,,STAFF,,,
10197,BITH,505,0,,French for Reading,4,11:35 AM - 12:45 PM,M W F,"Richmond, Lisa T.",BUS 133,,
10200,BITH,539,0,A,ANE Backgrounds,2,1:15 PM - 3:05 PM,T R,"Walton, John H.",BGC 532,,
10201,BITH,375,0,,Christian Ethics,4,2:15 PM - 3:25 PM,M W F,"Johnson, Keith L.",BGC 532,,
10204,BITH,546,0,,NT Book/1st & 2nd Peter & Jude,2 OR 4,6:30 PM - 10:00 PM,T,"Green, Gene L.",BGC 532,,
10205,BITH,551,0,B,Greco-Roman Backgrounds of NT,2,6:30 PM - 10:00 PM,M,"Sandy, D. Brent",BGC 130,,
10206,BITH,561,0,,Theological Anthropology,2,8:30 AM - 10:20 AM,W,"Cortez, Marc A.",BLANCH 339,,
10208,BITH,565,1,,Christian Theology,4,8:00 AM - 5:00 PM,MTWRFS,"Barbeau, Jeffrey W.",BGC 532,,
10208,BITH,565,1,,Christian Theology,4,TBA,,"Barbeau, Jeffrey W.",,,
10209,BITH,565,2,,Christian Theology,4,1:15 PM - 3:05 PM,T R,"Cortez, Marc A.",BGC 130,,
10211,BITH,576,0,,Hist of Christianity to 1900,4,6:30 PM - 10:00 PM,T,"Larsen, Timothy T.",BGC 132,,
10212,BITH,577,0,,World Christianity,4,6:30 PM - 10:00 PM,M,"Tooley, William A.",BGC 132,,
10213,BITH,622,0,,Theo/Rel Iss In Psyc,2,1:15 PM - 3:05 PM,T,Perrin & Jones,BGC 252,,
10216,BITH,635,1,,Hebrew Exegesis: Job,4,8:00 AM - 9:10 AM,M W F,"Walton, John H.",BGC 532,,
10220,BITH,655,0,A,Hist Theology: Reformation,2,11:15 AM - 1:05 PM,T R,"McNutt, Jennifer P.",BGC 524,,
10221,BITH,656,0,B,Hist Theology: Modern,2,11:15 AM - 1:05 PM,T R,STAFF,BGC 250,,
10222,BITH,674,0,,Theology & Liberal Arts,4,6:30 PM - 10:00 PM,W,"Barbeau, Jeffrey W.",BGC 136,,
10223,BITH,675,0,,Adv Syst Theo:Christology,4,8:30 AM - 10:20 AM,T R,"Treier, Daniel J.",BGC 532,,
10224,BITH,676,0,,Theo: Christology,4,8:30 AM - 10:20 AM,T R,"Treier, Daniel J.",BGC 532,,
10227,BITH,683,0,B,Historiography,2,11:15 AM - 1:05 PM,T R,"McNutt, Jennifer P.",BGC 524,,
10228,BITH,692,0,,Comprehensive Exam,0,TBA,,"Capes, David B.",,25,
10230,BITH,696,0,,Internship,2 OR 4,TBA,,STAFF,,,
10231,BITH,698,0,,Thesis,4,TBA,,STAFF,,,
10232,BITH,699,0,,Thesis Continuation,0,TBA,,STAFF,,50,
10233,BITH,793,0,,Directed Study,2 TO 4,TBA,,STAFF,,,
10234,BITH,794,0,,Directed Study-Liberal Arts,2 TO 4,TBA,,STAFF,,,
10235,BITH,795,0,,Guided Research,1 TO 4,TBA,,STAFF,,,
10236,BITH,798,0,,Guided Pedagogical Experience,2,TBA,,STAFF,,,
10237,BITH,882,0,,NT Ph.D. Kingdom of God,4,8:00 AM - 11:30 AM,M,"Perrin, Nicholas",BGC 569,,
10239,BITH,898,0,,Dissertation,0,TBA,,"Treier, Daniel J.",,,
10240,BITH,899,0,,Dissertation Continuation (FT),0,TBA,,"Treier, Daniel J.",,,
10242,BITH,211,7,,OT Lit & Interpretation,4,6:30 PM - 10:00 PM,T,"Higginbotham, Lanc",BPG. C 136,,SHAR
10254,BITH,639,0,,New Voices-OT Studies,2 OR 4,11:15 AM - 1:05 PM,T R,"Carroll, Mark D.",BGC 252,,
10257,BITH,521,0,A,Theology Of Education,2,6:30 PM - 10:00 PM,M,"Baker, Mary J.",BLANCH 455,,
10258,BITH,565,3,,Christian Theology,4,8:00 AM - 6:00 PM,MTWRF,"Bruce, Matthew J.",,,
10259,BITH,679,2,,Theology & the Enlightenment,4,6:30 PM - 10:00 PM,R,"McNutt, Jennifer P.",BGC 569,,
10261,CORE,312,0,,AIS Col & Redem:Native Chicago,4,12:55 PM - 2:05 PM,M W F,"Harkrider, Melissa",BLANCH 324,,"DUS, SI"
10262,PSYC,701,0,,Foundations of Integration,3,1:00 PM - 3:50 PM,M,STAFF,BGC 254,,
10264,PSYC,737,0,,Psychoanalytic/Psychodynamic,3,9:00 AM - 11:50 AM,M,STAFF,BGC 254,,
10266,PSYC,744,0,,Psych Assessment II,3,8:20 AM - 11:10 AM,T,"Davis, Edward B.",BGC 254,,
10271,PSYC,782,0,,Clinical Supervision/Consult,3,10:40 AM - 1:30 PM,M,"Watson, Terri S.",BGC M209,,
10272,PSYC,796,0,,"Practica I, II, III, IV",2,TBA,,"Voytenko, Vitaliy L.",,,
10280,PSYC,837,0,,Developmental Psychopathology,3,8:20 AM - 11:10 AM,T,"Canning, Sally S.",BGC M209,,
