Subject,Number,Section,Quad,Title / Comment,Credits,Meeting Time,Days,Instructor(s),Fees,Attributes
MUMS,343,0,,Piano & Vocal Tech for Comp,2,12:55 PM - 2:05 PM,M W,Hueber\ Thomas E.,96,
GEOL,344,0,,Gen Petrology & Petrography,4,12:55 PM - 2:05 PM,M W F,Moshier & Maneiro,120,
BIOL,344,0,,Economic Botany,4,1:15 PM - 4:05 PM,T,STAFF,,
COMM,345,0,,Narrative Media,4,2:15 PM - 4:05 PM,M W,Park\ Joonhee,,
PSYC,345,0,,Learning,4,12:55 PM - 2:05 PM,M W F,Phinney\ Raymond,,
BITH,345,0,B,Life of David,2,6:30 PM - 10:00 PM,T,Hill\ Andrew E.,,
ECON,345,0,,Money & Banking,4,11:15 AM - 1:05 PM,T R,Finley\ John G.,,
MUMS,346,0,,Conducting Lab,0,8:00 AM - 9:10 AM,W,Sommerville\ Daniel A.,48,
C E,346,0,,Discipleship,4,6:30 PM - 10:00 PM,T,Schwanda\ Tom,,
CHIN,346,0,,Modern Chinese Literature,4,8:30 AM - 10:20 AM,T R,Zhai\ Wenyang,,
IR,347,0,,East Asian Politics,4,11:35 AM - 12:45 PM,M W F,Taylor\ Timothy W.,,HP
SOC,347,0,,Gender & Society,4,9:20 AM - 10:30 AM,M W F,Reynolds\ Amy M.,,
HIST,348,0,,Revolutionary Europe,4,6:30 PM - 10:00 PM,M,Lundin\ Matthew D.,,
FREN,348,0,,Adolescence/Adulthood in Lit,4,2:15 PM - 3:25 PM,M W F,Savage\ Alan D.,,LE
IR,348,0,,Middle East Politics,4,12:55 PM - 2:05 PM,M W F,McKoy\ Michael K.,,GP\ HP
MUMS,349,0,,Organ Service Playing Tech,3,12:55 PM - 2:05 PM,M W F,Zimmerman\ Edward,144,
BITH,349,0,A,OT Topics: Daniel,2,8:00 AM - 9:10 AM,M W F,Walton\ John H.,,
PHYS,351,0,B,Analog Electronics,2,2:15 PM - 3:25 PM,M W F,Craig\ Darren J.,,
AHS,351,0,,Human Anatomy,4,12:55 PM - 2:05 PM,M W F,Townsend\ Dana K.,,
CSCI,351,0,,Intro to Computer Systems,4,9:20 AM - 10:30 AM,M W F,Pohly\ Devin J.,,
MATH,351,0,,Analysis I,4,9:20 AM - 10:30 AM,M W F,Brabenec\ Robert L.,,
PSYC,351,0,,Cognition,4,11:35 AM - 12:45 PM,M W F,Callender\ Aimee A.,,
BIOL,352,0,A,Parasitology,2,12:55 PM - 2:05 PM,M W F,Page\ L. Kristen,,
B EC,352,0,B,Business Law,2,12:55 PM - 2:05 PM,M W F,Bretsen\ Stephen N.,,
PSYC,352,0,,Contemporary Clinical Psyc,4,9:20 AM - 10:30 AM,M W F,Hall\ Sarah E.,,
COMM,353,0,,Adv Persuasive Speaking,4,12:55 PM - 2:05 PM,M W F,Hill\ Theon E.,,
ANTH,353,0,,Biculturalism,4,11:15 AM - 1:05 PM,T R,Sadiq\ Yousaf,,DUS\ GP
ENGL,355,0,,Romantic Period,4,12:55 PM - 2:05 PM,M W F,Colon\ Christine A.,,
CHEM,355,0,,Analytical Chemistry,2,11:15 AM - 12:05 PM,R,Burden\ Daniel L.,,
MUEP,357,0,,Opera Mainstage,2,4:00 PM - 5:30 PM,F,Hart\ Carolyn A.,365,
MUEP,357,0,,Opera Mainstage,2,11:15 AM - 1:05 PM,T R,Hart\ Carolyn A.,365,
ECON,362,0,,Wealth & Poverty of Nations,4,11:15 AM - 1:05 PM,T R,Long\ Jason M.,,
MUCS,363,0,A,Intro Music Research,2,8:30 AM - 10:20 AM,T R,Saylor\ L. Jonathan,96,
MATH,363,0,,Probability & Stats I,4,1:15 PM - 3:05 PM,T R,Delzell\ Darcie A.,,
BIOL,364,0,,Microbiology & Immunology,4,9:20 AM - 10:30 AM,M W F,Koo\ Jovanka T.,,
BITH,364,0,B,Peter And Jude,2,8:30 AM - 10:20 AM,T R,Green\ Gene L.,,
BITH,365,0,B,Prison Epistles,2,11:35 AM - 12:45 PM,M W F,Vlachos\ Chris A.,,
ECON,366,0,,International Economics,4,2:15 PM - 3:25 PM,M W F,Hill\ Enoch S.,,
SOC,367,0,,Crime & Delinquency,4,2:15 PM - 3:25 PM,M W F,Allen\ Henry L.,,
COMM,367,0,A,Reconciliation & Conflict Res,2,11:15 AM - 1:05 PM,T R,Liu\ Esther H.,,
BITH,368,0,A,Revelation,2,11:35 AM - 12:45 PM,M W F,Vlachos\ Chris A.,,
PHYS,370,0,B,Computational Methods-Python,2,11:35 AM - 12:45 PM,M W F,Blaauw\ Rhiannon C.,,
PSYC,371,0,A,Intro to Psychopharmocology,2,6:30 PM - 10:00 PM,M,Struthers\ William M.,,
GEOL,371,0,B,GIS,2,11:35 AM - 12:45 PM,M W F,Tagne\ Gilles V.,,
CHEM,371,0,,Physical Chemistry I,4,9:20 AM - 10:30 AM,M W F,Walhout\ Peter K.,,
CSCI,371,0,,Database System,4,9:20 AM - 10:30 AM,M W F,Kim\ Hyunju,,
FREN,371,0,,Meth of Teach Foreign Language,4,9:20 AM - 10:30 AM,M W F,Barlar\ Sharenda H.,,
GERM,371,0,,Meth Teach Foreign Language,4,9:20 AM - 10:30 AM,M W F,Barlar\ Sharenda H.,,
SPAN,371,0,,Meth Teach Foreign Language,4,9:20 AM - 10:30 AM,M W F,Barlar\ Sharenda H.,,
URBN,371,0,,Race\ Poverty\ Reconciliation,4,TBA,R,Sutter\ Arloa B.,,
BITH,371,0,,Early Christianity,4,8:30 AM - 10:20 AM,T R,Bruce\ Matthew J.,,
PSCI,371,0,,Public Opinion,4,8:30 AM - 10:20 AM,T R,Garrett\ Kristin N.,,
BITH,372,0,,Historical Theology,4,1:15 PM - 3:05 PM,T R,Bruce\ Matthew J.,,
GERM,372,0,,German for Reading,4,3:35 PM - 5:25 PM,W F,Shaffer\ Clinton S.,,
COMM,373,0,,Theater Workout,0,4:15 PM - 5:30 PM,T R,Lewis\ Mark N.,,
COMM,374,0,,Directing,4,1:15 PM - 3:05 PM,T R,Stauffer\ Michael E.,100,
BITH,374,0,,Systematic Theology,4,11:15 AM - 1:05 PM,T R,STAFF,,
BIOL,375,0,B,Intro to Bioinformatics,2,12:55 PM - 2:05 PM,M W F,Koo\ Jovanka T.,,
BITH,375,0,,Christian Ethics,4,11:35 AM - 12:45 PM,M W F,Lauber\ David,,
