Subject,Number,Section,Quad,Title / Comment,Credits,Meeting Time,Days,Instructor(s),Fees,Attributes
MUIP,108,0,NONE,Private Lessons: String Bass,2,TBA,BLANK,Anderson\ Andrew L.,0,NONE
MUIP,109,1,NONE,Private Lessons: Trumpet,2,TBA,BLANK,Saylor & Ridenour,512,NONE
MUIP,109,2,NONE,Private Lessons: Jazz Trumpet,2,TBA,BLANK,Saylor & Davis,512,NONE
MUIP,110,0,NONE,Private Lessons:  Horn,2,TBA,BLANK,Saylor & Cottle,512,NONE
C E,111,0,A,Foundations of Ministry,2,11:35 AM - 12:45 PM,M W F,Root\ Gerald R.,0,NONE
ENGL,111,1,NONE,Western Lit-The Four Loves,4,12:55 PM - 2:05 PM,M W F,Lapeyre\ Christophe,0,LE
ENGL,111,4,NONE,West Lit:Spiritual Battles,4,9:20 AM - 10:30 AM,M W F,Dunn-Hensley\ Susa,0,LE
MUIP,111,0,NONE,Private Lessons: Trombone,2,TBA,BLANK,Saylor & Davis,512,NONE
ENGL,112,1,NONE,SWL: Comedy & Tragedy,4,8:30 AM - 10:20 AM,T R,Gibson\ Alison R.,0,LE\ VPAT
ENGL,112,2,NONE,SWL: Comedy & Tragedy,4,11:15 AM - 1:05 PM,T R,Gibson\ Alison R.,0,LE\ VPAT
MUIP,112,0,NONE,Private Lessons: Euphonium,2,TBA,BLANK,Saylor\ L. Jonathan,512,NONE
MUIP,113,0,NONE,Private Lessons: Tuba,2,TBA,BLANK,Saylor\ L. Jonathan,512,NONE
HNGR,114,0,NONE,Poverty\ Justice & Transform - 1st & 2nd year students only,4,11:15 AM - 1:05 PM,T R,Huff\ James G.,0,GP\ SI
URBN,114,0,NONE,Social Life of Cities,4,1:15 PM - 3:05 PM,T R,Tooley\ Christa B.,0,GP\ SI
MUIP,114,0,NONE,Private Lessons:  Flute,2,TBA,BLANK,Saylor & Brown,512,NONE
SOC,115,1,NONE,Intro to Sociology,4,8:00 AM - 9:10 AM,M W F,Kim\ Henry H.,0,DUS\ SI
SOC,115,2,NONE,Intro to Sociology,4,11:35 AM - 12:45 PM,M W F,Allen\ Henry L.,0,DUS\ SI
ENGL,115,1,NONE,Global Lit: Culture Clash,4,2:15 PM - 3:25 PM,M W F,Galbraith\ Jeffrey R.,0,LE
ENGL,115,2,NONE,Global Lit:Echoes of Empire,4,12:55 PM - 2:05 PM,M W F,Dunn-Hensley\ Susa,0,LE
SOC,115,3,NONE,Intro to Sociology,4,11:15 AM - 1:05 PM,T R,Allen\ Henry L.,0,DUS\ SI
C E,115,0,NONE,Intro to Christian Formation,4,8:30 AM - 10:20 AM,T R,McRay\ Barrett W.,0,NONE
MUIP,115,0,NONE,Private Lessons: Clarinet,2,TBA,BLANK,Saylor & O'Riordan,512,NONE
ANTH,116,1,NONE,Introduction to Anthropology - Freshmen & Sophomores only.,4,8:30 AM - 10:20 AM,T R,Jeske\ Christine R.,0,GP\ SI
ANTH,116,2,NONE,Introduction to Anthropology - Freshmen & Sophomores only.,4,1:15 PM - 3:05 PM,T R,Howell\ Brian M.,0,GP\ SI
MUIP,116,0,NONE,Private Lessons: Oboe,2,TBA,BLANK,Saylor\ L. Jonathan,512,NONE
MUIP,117,0,NONE,Private Lessons: Bassoon,2,TBA,BLANK,Saylor\ L. Jonathan,512,NONE
MUIP,118,0,NONE,Private Lessons: Saxophone,2,TBA,BLANK,Saylor & Black,512,NONE
MUIP,119,0,NONE,Private Lessons: Harp,2,TBA,BLANK,Joiner & Seeman,512,NONE
MUIP,120,1,NONE,Private Lessons: Percussion,2,TBA,BLANK,Kastner & Folker,512,NONE
MUIP,120,2,NONE,Private Lessons: Jazz Drum,2,TBA,BLANK,Kastner & Gillan,512,NONE
MUIP,121,0,NONE,Private Lessons:Classic Guitar,2,TBA,BLANK,Joiner & Torosian,512,NONE
MUTC,122,0,NONE,Introduction to Composition,2,9:20 AM - 10:30 AM,M W F,Okpebholo\ Shawn,96,NONE
MUIP,122,0,NONE,Private Lessons: Jazz Guitar,2,TBA,BLANK,Joiner & Ramsdell,512,NONE
MSCI,123,0,NONE,Leadership Laboratory,0,3:45 PM - 5:45 PM,R,Olson & Nigh,0,NONE
MUIP,131,1,NONE,Small Group Piano Lessons,1,7:00 PM - 8:00 PM,M,Horn & Hollinger,245,NONE
MUIP,131,2,NONE,Small Group Piano Lessons,1,8:05 PM - 9:05 PM,M,Hart & Gamez,245,NONE
AHS,134,0,NONE,Equestrian Skills,1,TBA,BLANK,STAFF,300,NONE
EDUC,135,0,A,School & Society,2,11:35 AM - 12:45 PM,M W F,Jonas\ Mark E.,0,NONE
PSCI,135,0,NONE,American Politics and Gov't,4,11:35 AM - 12:45 PM,M W F,Garrett\ Kristin N.,0,SI
EDUC,136,0,B,Teaching Diverse Students,2,11:35 AM - 12:45 PM,M W F,Vroom Fick\ Sara J.,0,NONE
AHS,141,0,A,Skiing - Cross Country,1,TBA,BLANK,Kiley\ Ashley P.,0,NONE
MUMS,141,0,NONE,English & Italian Diction,2,2:15 PM - 3:05 PM,T R,Hueber\ Thomas E.,96,NONE
MUIP,141,0,NONE,Small Group Voice Lessons,1,TBA,BLANK,Hart & Gamez,245,NONE
PSCI,145,0,NONE,Political Philosophy,4,8:30 AM - 10:20 AM,T R,McGraw\ Bryan T.,0,PI\ SI
MUIP,150,0,NONE,Small Grp Jazz Trumpet Lessons,1,TBA,BLANK,Saylor & Davis,245,NONE
IR,155,1,NONE,Comparative Politics,4,9:20 AM - 10:30 AM,M W F,Alexander\ Kathryn,0,GP\ SI
MUIP,160,0,NONE,Early Keyboard Lessons,1,TBA,BLANK,Zimmerman\ Edward,245,NONE
COMM,171,0,A,Intro to Acting,2,8:30 AM - 10:20 AM,T R,Bell\ Kailey B.,0,VPAT
MUTC,171,1,NONE,Music Theory II,3,8:00 AM - 9:10 AM,M W F,Wheatley\ Gregory,144,NONE
MUTC,171,2,NONE,Music Theory II,3,9:20 AM - 10:30 AM,M W F,Wheatley\ Gregory,144,NONE
MUTC,172,2,NONE,Aural Skills II,1,12:15 PM - 1:05 PM,T R,Okpebholo\ Shawn,48,NONE
MUTC,172,3,NONE,Aural Skills II,1,2:15 PM - 3:05 PM,T R,Okpebholo\ Shawn,48,NONE
IR,175,0,NONE,International Politics,4,11:35 AM - 12:45 PM,M W F,McKoy\ Michael K.,0,SI
IR,175,2,NONE,International Politics,4,11:15 AM - 1:05 PM,T R,Taylor\ Timothy W.,0,SI
FREN,201,0,NONE,Intermediate French,4,8:00 AM - 9:10 AM,M W F,Soerens\ Diana M.,0,COMP
GERM,201,0,NONE,Intermediate German,4,11:35 AM - 12:45 PM,M W F,Gascho\ Bethel L.,0,COMP
SPAN,201,1,NONE,Intermediate Spanish,4,8:00 AM - 9:10 AM,M W F,Gates\ Stephanie R.,0,COMP
SPAN,201,2,NONE,Intermediate Spanish,4,9:20 AM - 10:30 AM,M W F,Toly\ Rebecca A.,0,COMP
SPAN,201,3,NONE,Intermediate Spanish,4,11:35 AM - 12:45 PM,M W F,Gates\ Stephanie R.,0,COMP
SPAN,201,4,NONE,Intermediate Spanish,4,11:35 AM - 12:45 PM,M W F,Toly\ Rebecca A.,0,COMP
SPAN,201,5,NONE,Intermediate Spanish,4,12:55 PM - 2:05 PM,M W F,Toly\ Rebecca A.,0,COMP
SPAN,201,6,NONE,Intermediate Spanish,4,12:55 PM - 2:05 PM,M W F,Barlar\ Sharenda H.,0,COMP
HIST,201,0,NONE,Why History?,4,6:30 PM - 10:00 PM,T,Kim\ Hanmee N.,0,HP
COMM,201,0,NONE,Fundmntls Oral Communication,4,8:30 AM - 10:20 AM,T R,Hill\ Theon E.,0,COMP
MUIP,201,1,NONE,Private Lessons: Piano,2 TO 4,TBA,BLANK,Horn & Stampfl,770,NONE
MUIP,201,2,NONE,Private Less: Jazz Piano,2 TO 4,TBA,BLANK,Horn & Williams,770,NONE
ENGR,202,0,NONE,ENGR Mechanics II - Dynamics,4,12:55 PM - 2:05 PM,M W F,Hsu\ David D.,0,NONE
MSCI,202,0,NONE,Army Doctrine/Team Dev't,2,6:30 PM - 10:00 PM,R,Albuck & Frye,0,NONE
ENGL,202,0,NONE,Japanese Literature,4,8:30 AM - 10:20 AM,T R,Nonaka\ Miho,0,GP\ LE
MUIP,202,0,NONE,Private Lessons: Organ,2 TO 4,TBA,BLANK,Zimmerman\ Edward,770,NONE
MUIP,203,0,NONE,Private Lessons: Harpsichord,2 TO 4,TBA,BLANK,Zimmerman\ Edward,770,NONE
ENGR,204,0,NONE,Innovative Design-Engineering,4,1:15 PM - 3:05 PM,T R,Hsu\ David D.,65,NONE
MUIP,204,2,NONE,Private Lessons: Jazz Voice,2 TO 4,TBA,BLANK,Hart & Williams,770,NONE
PHIL,205,1,NONE,Ethics & Society,4,11:15 AM - 1:05 PM,T R,Fletcher\ David B.,0,PI
PHIL,205,2,NONE,Ethics & Society,4,1:15 PM - 3:05 PM,T R,Fletcher\ David B.,0,PI
MUIP,205,0,NONE,Private Lessons: Violin,2 TO 4,TBA,BLANK,Joiner & Zafer,770,NONE
PHIL,206,0,NONE,Philosophy & Spiritual Form,4,12:55 PM - 2:05 PM,M W F,Gordon\ James R.,0,PI\ SI
MUIP,206,0,NONE,Private Lessons: Viola,2 TO 4,TBA,BLANK,Griffin & Joiner,770,NONE
MUIP,207,0,NONE,Private Lessons: Cello,2 TO 4,TBA,BLANK,Joiner & Altino,770,NONE
MUIP,208,1,NONE,Private Lessons: String Bass,2 TO 4,TBA,BLANK,Joiner & Anderson,770,NONE
MUIP,208,2,NONE,Private Lessons: Jazz Bass,2 TO 4,TBA,BLANK,Joiner & Ernst,770,NONE
MUIP,209,1,NONE,Private Lessons: Trumpet,2 TO 4,TBA,BLANK,Saylor & Ridenour,770,NONE
MUIP,209,2,NONE,Private Lessons: Jazz Trumpet,2 TO 4,TBA,BLANK,Saylor & Davis,770,NONE
MUIP,210,0,NONE,Private Lessons: French Horn,2 TO 4,TBA,BLANK,Cottle & Saylor,770,NONE
